title;publication_date;author;views;likes
Ansiedade - combate ao pequeno grande “monstro”;2022-11-24;Bruna Santa;854;159
Como poupar dinheiro sendo estudante!;2022-11-21;Luana Oliveira;77;8
Herrar é umano - Testemunho de um gap year forçado;2022-09-26;Diana Oliveira;303;23
A importância do associativismo durante a jornada de um estudante;2022-09-23;Bruna Santa;65;7
Se pensas que sabes tudo acerca do Superior... enganas-te!;2022-09-20;Andreia  Marques;71;7
Ainda à procura de alojamento? Estamos aqui para te ajudar!;2022-09-09;Andreia  Marques;111;6
Reforço de vagas permite aos alunos alterar candidaturas ao ensino superior;2022-08-23;-;280;12
Tunas Académicas - Testemunho da Real Tuna Infantina (UAlg);2022-08-18;Cris Vieira;159;13
Ensino Superior? Afinal que curso vou escolher?;2022-08-02;Bruna Santa;139;16
Às vezes, somos caloiros muitas vezes...;2022-08-01;Diana Oliveira;156;14
Conhece as melhores instituições para o teu curso!;2022-07-23;Bruna Santa;178;13
A 1ª fase não me correu bem e agora?;2022-07-19;Morgana;292;10
Dos exames... à entrada no Ensino Superior;2022-07-15;Andreia  Marques;335;7
As bolsas que existem no Ensino Superior;2022-07-12;Ana Rita Marques;361;9
Ficha ENES: o currículo do teu Ensino Secundário;2022-07-09;Luana Oliveira;829;10
Contingentes de Acesso ao Ensino Superior: o que são e para quem?;2022-07-07;-;847;23
Candidatura à Bolsa da DGES;2022-06-27;Luana Oliveira;1424;29
Licenciaturas sem limite de vagas no acesso ao Ensino Superior;2022-06-16;Bruna Santa;458;14
6.500€ para oportunidades de Gap Years imperdíveis;2022-06-06;-;1101;15
Atribuição de senha e certificação dos dados pessoais: como fazer?;2022-05-26;-;567;11
Exames Nacionais: Cotações, perguntas facultativas & obrigatórias e outras informações;2022-05-18;Tiago Oliveira;3176;23
O que é o Ensino Concordatário?;2022-04-17;Morgana;1629;8
Pré-requisitos: esclarece as tuas dúvidas!;2022-03-30;Soraia Oliveira;674;13
Melhorias: tudo o que precisas de saber;2022-03-28;Luana Oliveira;8931;26
Exames Nacionais 2022: inscrições online;2022-03-24;Morgana;4038;16
Pedido de senha para acesso ao Ensino Superior: para que serve e dicas.;2022-03-21;Luana Oliveira;4682;16
Ano Zero: a média não é um problema;2022-02-17;Bruna Santa;468;34
Como estudar para um teste de escolha múltipla?;2022-02-14;Luana Oliveira;244;12
Será um CTeSP indicado para mim?;2022-01-27;Soraia Oliveira;623;12
8 dicas para acabares com a procrastinação;2022-01-14;Tiago Oliveira;313;13
Como pesquisar artigos científicos? Um guia essencial para os trabalhos escolares!;2022-01-12;Emanuelle;357;114
Qual o melhor tipo de apontamento? Digital ou Manual?;2022-01-06;Morgana;320;32
Bolsas + Superior 2021/2022;2021-11-23;-;430;12
Métodos de Estudo - formas de tornar o estudo mais dinâmico e eficiente;2021-11-22;Lia Alves;270;18
“Se eu soubesse onde me voluntariar até ia!”;2021-11-17;Morgana;179;20
ECTS: a sigla que vai ditar o teu futuro no ensino superior;2021-11-12;-;216;17
Será que estou no curso certo? O medo e as incertezas na mudança de área;2021-11-01;Soraia Oliveira;82;17
Youtube: em casa, no bus, em todo o lado;2021-10-18;Tiago Oliveira;152;20
Primeiros tempos na universidade: o sonho de alguns, o pesadelo de muitos!;2021-10-13;Luana Oliveira;99;16
A praxe académica;2021-10-12;-;210;16
Universidade: importância e alternativas;2021-09-13;Ana Batista;77;15
Escreve o teu sucesso;2021-08-23;Luana Oliveira;70;19
Estudante, diminui a tua pegada ecológica com os manuais escolares gratuitos!;2021-08-10;Morgana Pereira;105;28
Avançar para ... a minha candidatura ao Ensino Superior;2021-08-06;Tiago Oliveira;857;22
CET... uma opção diferente do normal;2021-08-03;Soraia Oliveira;135;19
Abandono escolar no ensino superior aumenta para cerca de 13 000 estudantes;2021-07-26;Tiago Oliveira;55;24
A importância das soft skills;2021-07-24;-;98;16
6 Dicas para um mindset de sucesso nos Exames Nacionais;2021-06-24;Telma Tomaz;329;19
Exames Orais? E agora?;2021-06-14;Luana Oliveira;99;13
The game - A evolução das médias de acesso em 2021: são para subir?;2021-06-07;Tiago Oliveira;3212;16
Quando for para a universidade, vou viver debaixo da ponte?;2021-05-26;Soraia Oliveira;140;15
Mudar de faculdade no Ensino Superior;2021-05-16;-;222;18
Kit de sobrevivência para os exames nacionais 2021;2021-05-09;Lia Alves;377;21
Gap Year: sim ou não?;2021-04-30;Diana Duarte;494;19
Preferência Regional: benefícios que podes usufruir na candidatura ao ensino superior;2021-04-27;-;4066;12
Universidade = Perfect Match (Como escolher a melhor universidade para mim?);2021-04-25;Luana Oliveira;218;10
As desigualdades sociais em tempos de pandemia;2021-04-23;Soraia Oliveira;64;14
Como obter uma boa média de ingresso?;2021-04-18;Tiago Oliveira;377;15
Classicus, a, um (adj.) - a desvalorização das ciências humanas em Portugal;2021-04-16;Lia Alves;151;16
O curso ideal para ti no ensino superior: o que precisas de ter em conta;2021-04-14;-;399;14
Ansiedade - combate ao pequeno grande “monstro”;2022-11-24;Bruna Santa;854;159
Como poupar dinheiro sendo estudante!;2022-11-21;Luana Oliveira;77;8
Herrar é umano - Testemunho de um gap year forçado;2022-09-26;Diana Oliveira;303;23
A importância do associativismo durante a jornada de um estudante;2022-09-23;Bruna Santa;65;7
Se pensas que sabes tudo acerca do Superior... enganas-te!;2022-09-20;Andreia  Marques;71;7
Ainda à procura de alojamento? Estamos aqui para te ajudar!;2022-09-09;Andreia  Marques;111;6
Reforço de vagas permite aos alunos alterar candidaturas ao ensino superior;2022-08-23;-;280;12
Tunas Académicas - Testemunho da Real Tuna Infantina (UAlg);2022-08-18;Cris Vieira;159;13
Ensino Superior? Afinal que curso vou escolher?;2022-08-02;Bruna Santa;139;16
Às vezes, somos caloiros muitas vezes...;2022-08-01;Diana Oliveira;156;14
Conhece as melhores instituições para o teu curso!;2022-07-23;Bruna Santa;178;13
A 1ª fase não me correu bem e agora?;2022-07-19;Morgana;292;10
Dos exames... à entrada no Ensino Superior;2022-07-15;Andreia  Marques;335;7
As bolsas que existem no Ensino Superior;2022-07-12;Ana Rita Marques;361;9
Ficha ENES: o currículo do teu Ensino Secundário;2022-07-09;Luana Oliveira;829;10
Contingentes de Acesso ao Ensino Superior: o que são e para quem?;2022-07-07;-;847;23
Candidatura à Bolsa da DGES;2022-06-27;Luana Oliveira;1424;29
Licenciaturas sem limite de vagas no acesso ao Ensino Superior;2022-06-16;Bruna Santa;458;14
6.500€ para oportunidades de Gap Years imperdíveis;2022-06-06;-;1101;15
Atribuição de senha e certificação dos dados pessoais: como fazer?;2022-05-26;-;567;11
Exames Nacionais: Cotações, perguntas facultativas & obrigatórias e outras informações;2022-05-18;Tiago Oliveira;3176;23
O que é o Ensino Concordatário?;2022-04-17;Morgana;1629;8
Pré-requisitos: esclarece as tuas dúvidas!;2022-03-30;Soraia Oliveira;674;13
Melhorias: tudo o que precisas de saber;2022-03-28;Luana Oliveira;8931;26
Exames Nacionais 2022: inscrições online;2022-03-24;Morgana;4038;16
Pedido de senha para acesso ao Ensino Superior: para que serve e dicas.;2022-03-21;Luana Oliveira;4682;16
Ano Zero: a média não é um problema;2022-02-17;Bruna Santa;468;34
Como estudar para um teste de escolha múltipla?;2022-02-14;Luana Oliveira;244;12
Será um CTeSP indicado para mim?;2022-01-27;Soraia Oliveira;623;12
8 dicas para acabares com a procrastinação;2022-01-14;Tiago Oliveira;313;13
Como pesquisar artigos científicos? Um guia essencial para os trabalhos escolares!;2022-01-12;Emanuelle;357;114
Qual o melhor tipo de apontamento? Digital ou Manual?;2022-01-06;Morgana;320;32
Bolsas + Superior 2021/2022;2021-11-23;-;430;12
Métodos de Estudo - formas de tornar o estudo mais dinâmico e eficiente;2021-11-22;Lia Alves;270;18
“Se eu soubesse onde me voluntariar até ia!”;2021-11-17;Morgana;179;20
ECTS: a sigla que vai ditar o teu futuro no ensino superior;2021-11-12;-;216;17
Será que estou no curso certo? O medo e as incertezas na mudança de área;2021-11-01;Soraia Oliveira;82;17
Youtube: em casa, no bus, em todo o lado;2021-10-18;Tiago Oliveira;152;20
Primeiros tempos na universidade: o sonho de alguns, o pesadelo de muitos!;2021-10-13;Luana Oliveira;99;16
A praxe académica;2021-10-12;-;210;16
Universidade: importância e alternativas;2021-09-13;Ana Batista;77;15
Escreve o teu sucesso;2021-08-23;Luana Oliveira;70;19
Estudante, diminui a tua pegada ecológica com os manuais escolares gratuitos!;2021-08-10;Morgana Pereira;105;28
Avançar para ... a minha candidatura ao Ensino Superior;2021-08-06;Tiago Oliveira;857;22
CET... uma opção diferente do normal;2021-08-03;Soraia Oliveira;135;19
Abandono escolar no ensino superior aumenta para cerca de 13 000 estudantes;2021-07-26;Tiago Oliveira;55;24
A importância das soft skills;2021-07-24;-;98;16
6 Dicas para um mindset de sucesso nos Exames Nacionais;2021-06-24;Telma Tomaz;329;19
Exames Orais? E agora?;2021-06-14;Luana Oliveira;99;13
The game - A evolução das médias de acesso em 2021: são para subir?;2021-06-07;Tiago Oliveira;3212;16
Quando for para a universidade, vou viver debaixo da ponte?;2021-05-26;Soraia Oliveira;140;15
Mudar de faculdade no Ensino Superior;2021-05-16;-;222;18
Kit de sobrevivência para os exames nacionais 2021;2021-05-09;Lia Alves;377;21
Gap Year: sim ou não?;2021-04-30;Diana Duarte;494;19
Preferência Regional: benefícios que podes usufruir na candidatura ao ensino superior;2021-04-27;-;4066;12
Universidade = Perfect Match (Como escolher a melhor universidade para mim?);2021-04-25;Luana Oliveira;218;10
As desigualdades sociais em tempos de pandemia;2021-04-23;Soraia Oliveira;64;14
Como obter uma boa média de ingresso?;2021-04-18;Tiago Oliveira;377;15
Classicus, a, um (adj.) - a desvalorização das ciências humanas em Portugal;2021-04-16;Lia Alves;151;16
O curso ideal para ti no ensino superior: o que precisas de ter em conta;2021-04-14;-;399;14
Métodos de estudo: qual é o teu?;2021-04-13;Diana Duarte;220;11
Estudar na véspera: Sim ou Não?;2021-04-07;Filipa Osório;178;24
Estudante, estes podcasts são para ti (ft. Spotify);2021-04-04;Luana Oliveira;169;12
Politécnico vs. Universidade;2021-04-01;-;949;11
De Macau para Portugal em tempos de pandemia;2021-03-29;-;68;15
O que são as melhorias e porque é que precisas delas?;2021-03-26;-;127;11
"Calendário das ""festas"" para 2021";2021-03-25;-;191;11
Escola pública vs Escola privada: Qual delas a melhor?;2021-03-21;Diana Duarte;458;7
Exames nacionais e acesso ao ensino superior: as confirmações;2021-03-11;-;225;8
Acesso ao superior vai manter as mesmas regras do ano passado;2021-03-10;-;198;7
Professores podem obrigar alunos a ter câmara ligada durante as aulas;2021-02-18;-;116;7
Burnout: uma questão de saúde pública;2021-02-16;Lia Alves;85;8
Ansiedade - combate ao pequeno grande “monstro”;2022-11-24;Bruna Santa;854;159
Como poupar dinheiro sendo estudante!;2022-11-21;Luana Oliveira;77;8
Herrar é umano - Testemunho de um gap year forçado;2022-09-26;Diana Oliveira;303;23
A importância do associativismo durante a jornada de um estudante;2022-09-23;Bruna Santa;65;7
Se pensas que sabes tudo acerca do Superior... enganas-te!;2022-09-20;Andreia  Marques;71;7
Ainda à procura de alojamento? Estamos aqui para te ajudar!;2022-09-09;Andreia  Marques;111;6
Reforço de vagas permite aos alunos alterar candidaturas ao ensino superior;2022-08-23;-;280;12
Tunas Académicas - Testemunho da Real Tuna Infantina (UAlg);2022-08-18;Cris Vieira;159;13
Ensino Superior? Afinal que curso vou escolher?;2022-08-02;Bruna Santa;139;16
Às vezes, somos caloiros muitas vezes...;2022-08-01;Diana Oliveira;156;14
Conhece as melhores instituições para o teu curso!;2022-07-23;Bruna Santa;178;13
A 1ª fase não me correu bem e agora?;2022-07-19;Morgana;292;10
Dos exames... à entrada no Ensino Superior;2022-07-15;Andreia  Marques;335;7
As bolsas que existem no Ensino Superior;2022-07-12;Ana Rita Marques;361;9
Ficha ENES: o currículo do teu Ensino Secundário;2022-07-09;Luana Oliveira;829;10
Contingentes de Acesso ao Ensino Superior: o que são e para quem?;2022-07-07;-;847;23
Candidatura à Bolsa da DGES;2022-06-27;Luana Oliveira;1424;29
Licenciaturas sem limite de vagas no acesso ao Ensino Superior;2022-06-16;Bruna Santa;458;14
6.500€ para oportunidades de Gap Years imperdíveis;2022-06-06;-;1101;15
Atribuição de senha e certificação dos dados pessoais: como fazer?;2022-05-26;-;567;11
Exames Nacionais: Cotações, perguntas facultativas & obrigatórias e outras informações;2022-05-18;Tiago Oliveira;3176;23
O que é o Ensino Concordatário?;2022-04-17;Morgana;1629;8
Pré-requisitos: esclarece as tuas dúvidas!;2022-03-30;Soraia Oliveira;674;13
Melhorias: tudo o que precisas de saber;2022-03-28;Luana Oliveira;8931;26
Exames Nacionais 2022: inscrições online;2022-03-24;Morgana;4038;16
Pedido de senha para acesso ao Ensino Superior: para que serve e dicas.;2022-03-21;Luana Oliveira;4682;16
Ano Zero: a média não é um problema;2022-02-17;Bruna Santa;468;34
Como estudar para um teste de escolha múltipla?;2022-02-14;Luana Oliveira;244;12
Será um CTeSP indicado para mim?;2022-01-27;Soraia Oliveira;623;12
8 dicas para acabares com a procrastinação;2022-01-14;Tiago Oliveira;313;13
Como pesquisar artigos científicos? Um guia essencial para os trabalhos escolares!;2022-01-12;Emanuelle;357;114
Qual o melhor tipo de apontamento? Digital ou Manual?;2022-01-06;Morgana;320;32
Bolsas + Superior 2021/2022;2021-11-23;-;430;12
Métodos de Estudo - formas de tornar o estudo mais dinâmico e eficiente;2021-11-22;Lia Alves;270;18
“Se eu soubesse onde me voluntariar até ia!”;2021-11-17;Morgana;179;20
ECTS: a sigla que vai ditar o teu futuro no ensino superior;2021-11-12;-;216;17
Será que estou no curso certo? O medo e as incertezas na mudança de área;2021-11-01;Soraia Oliveira;82;17
Youtube: em casa, no bus, em todo o lado;2021-10-18;Tiago Oliveira;152;20
Primeiros tempos na universidade: o sonho de alguns, o pesadelo de muitos!;2021-10-13;Luana Oliveira;99;16
A praxe académica;2021-10-12;-;210;16
Universidade: importância e alternativas;2021-09-13;Ana Batista;77;15
Escreve o teu sucesso;2021-08-23;Luana Oliveira;70;19
Estudante, diminui a tua pegada ecológica com os manuais escolares gratuitos!;2021-08-10;Morgana Pereira;105;28
Avançar para ... a minha candidatura ao Ensino Superior;2021-08-06;Tiago Oliveira;857;22
CET... uma opção diferente do normal;2021-08-03;Soraia Oliveira;135;19
Abandono escolar no ensino superior aumenta para cerca de 13 000 estudantes;2021-07-26;Tiago Oliveira;55;24
A importância das soft skills;2021-07-24;-;98;16
6 Dicas para um mindset de sucesso nos Exames Nacionais;2021-06-24;Telma Tomaz;329;19
Exames Orais? E agora?;2021-06-14;Luana Oliveira;99;13
The game - A evolução das médias de acesso em 2021: são para subir?;2021-06-07;Tiago Oliveira;3212;16
Quando for para a universidade, vou viver debaixo da ponte?;2021-05-26;Soraia Oliveira;140;15
Mudar de faculdade no Ensino Superior;2021-05-16;-;222;18
Kit de sobrevivência para os exames nacionais 2021;2021-05-09;Lia Alves;377;21
Gap Year: sim ou não?;2021-04-30;Diana Duarte;494;19
Preferência Regional: benefícios que podes usufruir na candidatura ao ensino superior;2021-04-27;-;4066;12
Universidade = Perfect Match (Como escolher a melhor universidade para mim?);2021-04-25;Luana Oliveira;218;10
As desigualdades sociais em tempos de pandemia;2021-04-23;Soraia Oliveira;64;14
Como obter uma boa média de ingresso?;2021-04-18;Tiago Oliveira;377;15
Classicus, a, um (adj.) - a desvalorização das ciências humanas em Portugal;2021-04-16;Lia Alves;151;16
O curso ideal para ti no ensino superior: o que precisas de ter em conta;2021-04-14;-;399;14
Métodos de estudo: qual é o teu?;2021-04-13;Diana Duarte;220;11
Estudar na véspera: Sim ou Não?;2021-04-07;Filipa Osório;178;24
Estudante, estes podcasts são para ti (ft. Spotify);2021-04-04;Luana Oliveira;169;12
Politécnico vs. Universidade;2021-04-01;-;949;11
De Macau para Portugal em tempos de pandemia;2021-03-29;-;68;15
O que são as melhorias e porque é que precisas delas?;2021-03-26;-;127;11
"Calendário das ""festas"" para 2021";2021-03-25;-;191;11
Escola pública vs Escola privada: Qual delas a melhor?;2021-03-21;Diana Duarte;458;7
Exames nacionais e acesso ao ensino superior: as confirmações;2021-03-11;-;225;8
Acesso ao superior vai manter as mesmas regras do ano passado;2021-03-10;-;198;7
Professores podem obrigar alunos a ter câmara ligada durante as aulas;2021-02-18;-;116;7
Burnout: uma questão de saúde pública;2021-02-16;Lia Alves;85;8
Exames Nacionais contam para a média? Serão obrigatórios?;2021-02-14;Tiago Oliveira;1109;5
Alterações nos exames nacionais e novas datas dos períodos letivos;2021-02-12;-;214;5
Métodos de Estudo- em tempos de pandemia;2021-02-05;Ana Miguel;186;10
Conclusão do 1º semestre em tempos de pandemia - época de exames;2021-02-02;-;34;6
Exames Nacionais 2021: voltamos ao mesmo?;2021-01-29;Tiago Oliveira;330;6
Update: Encerramento de escolas;2021-01-20;Tiago Oliveira;331;7
Uma experiência deveras atribulada;2021-01-10;Katarina Serralha;283;7
Escolas Básicas, Secundárias e Ensino Superior vão continuar a decorrer na normalidade;2021-01-09;-;147;4
Destaca o teu perfil do LinkedIn no meio de todos os outros;2021-01-06;Tiago Oliveira;27;3
Iave quer travar notas “demasiado elevadas” nos exames nacionais;2020-12-27;-;163;5
A educação física conta para a média? FACTO ou MITO?;2020-11-30;Carolina Ivanova;1731;7
undefined;2020-11-18;-;259;5
Ansiedade - combate ao pequeno grande “monstro”;2022-11-24;Bruna Santa;854;159
Como poupar dinheiro sendo estudante!;2022-11-21;Luana Oliveira;77;8
Herrar é umano - Testemunho de um gap year forçado;2022-09-26;Diana Oliveira;303;23
A importância do associativismo durante a jornada de um estudante;2022-09-23;Bruna Santa;65;7
Se pensas que sabes tudo acerca do Superior... enganas-te!;2022-09-20;Andreia  Marques;71;7
Ainda à procura de alojamento? Estamos aqui para te ajudar!;2022-09-09;Andreia  Marques;111;6
